MCC,MCC Category,MCC Truncated,Dropdown Name
5046,"Commercial Equipment, Not Elsewhere Classified",Commercial Equipment,5046:-Commercial Equipment
5599,automotive dealers,automotive dealers,5599:-automotive dealers
7641,"Furniture, Furniture Repair, and Furniture Refinishing",Furniture Refinishing,7641:-Furniture Refinishing
5271,Mobile Home Dealers,Mobile Home Dealers,5271:-Mobile Home Dealers
5122,"Drugs, Drug Proprietors, and Druggist’s Sundries",Drugs,5122:-Drugs
5713,Floor Covering Stores,Floor Covering Stores,5713:-Floor Covering Stores
5611,Men’s and Boy’s Clothing and Accessories Stores,Mens Wear,5611:-Mens Wear
7623,Air Conditioning and Refrigeration Repair Shops,Air Conditioning and Refrigeration Repair Shops,7623:-Air Conditioning and Refrigeration Repair Shops
5995,"Pet Shops, Pet Foods, and Supplies Stores",Pet Shops,5995:-Pet Shops
5094,"Precious Stones and Metals, Watches and Jewelry",Watches and Jewelry,5094:-Watches and Jewelry
5975,"Hearing Aids – Sales, Service, and Supply Stores",Hearing Aids,5975:-Hearing Aids
5261,Nurseries – Lawn and Garden Supply Store,Nurseries,5261:-Nurseries
1740,Insulation – Contractors,Insulation,1740:-Insulation
7534,Tire Re-treading and Repair Shops,Tire Re,7534:-Tire Shops
7349,"Cleaning and Maintenance, Janitorial Services",Cleaning and Maintenance,7349:-Cleaning and Maintenance
7692,Welding Repair,Welding Repair,7692:-Welding Repair
5021,Office and Commercial Furniture,Office and Commercial Furniture,5021:-Office and Commercial Furniture
7372,"Computer Programming, Integrated Systems Design and Data Processing Services",Computer Programming,7372:-Computer Programming
7297,Massage Parlors,Massage Parlors,7297:-Massage Parlors
8351,Child Care Services,Child Care Services,8351:-Child Care Services
7911,"Dance Halls, Studios and Schools","Dance Halls, Studios and Schools","7911:-Dance Halls, Studios and Schools"
7542,Car Washes,Car Washes,7542:-Car Washes
7523,Automobile Parking Lots and Garages,Automobile Parking Lots and Garages,7523:-Automobile Parking Lots and Garages
5399,Misc. General Merchandise,Misc. General Merchandise,5399:-Misc. General Merchandise
8111,Legal Services and Attorneys,Legal Services and Attorneys,8111:-Legal Services and Attorneys
5962,Direct Marketing – Travel Related Arrangements Services,Direct Marketing Travel,5962:-Direct Marketing Travel
5193,"Florists’ Supplies, Nursery Stock and Flowers",Florists Supplies,5193:-Florists Supplies
6012,Financial Institutions – Merchandise and Services,Financial Institutions,6012:-Financial Institutions
7622,Radio Repair Shops,Radio Repair Shops,7622:-Radio Repair Shops
5735,Record Shops,Record Shops,5735:-Record Shops
1799,"Contractors – Special Trade, Not Elsewhere Classified",Special Trade,1799:-Special Trade
7276,Tax Preparation Service,Tax Preparation Service,7276:-Tax Preparation Service
7399,"Business Services, Not Elsewhere Classified",Business Services,7399:-Business Services
5976,Orthopedic Goods Prosthetic Devices,Orthopedic Goods Prosthetic Devices,5976:-Orthopedic Goods
3441,advantage rent a car,advantage rent a car,3441:-advantage rent a car
5965,Direct Marketing – Catalog and Catalog and Retail Merchant,Direct Marketing Catalog,5965:-Direct Marketing Catalog
1771,Concrete Work Contractors,Concrete Work Contractors,1771:-Concrete Work Contractors
4814,"Telecommunication Services, including Local and Long Distance Calls, Credit Card Calls, Calls Through Use of Magnetic Stripe Reading Telephones, and Fax Services",Telecommunication Services,4814:-Telecommunication Services
5300,Wholesale Clubs,Wholesale Clubs,5300:-Wholesale Clubs
7519,Motor Home and Recreational Vehicle Rentals,Vehicle Rentals,7519:-Vehicle Rentals
9406,Government-Owned Lotteries (Non-U.S. region),Government-Owned Lotteries,9406:-Government-Owned Lotteries
5950,Glassware/Crystal Stores,Glassware/Crystal Stores,5950:-Glassware/Crystal Stores
7535,Automotive Paint Shops,Paint Shops,7535:-Paint Shops
3657,OBEROI HOTELS,OBEROI HOTELS,3657:-OBEROI HOTELS
8661,Religious Organizations,Religious Organizations,8661:-Religious Organizations
780,Landscaping and Horticultural Services,Landscaping and Horticultural Services,780:-Landscaping and Horticultural Services
3504,HILTON HOTELS,HILTON HOTELS,3504:-HILTON HOTELS
7332,PHOTOCOPYING,PHOTOCOPYING,7332:-PHOTOCOPYING
